cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
FENHEXA,2743,FENHEXAMID,Fenhexamid,126833-17-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTHC,1510,MÉTHIOCARB,Méthiocarb,2032-65-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACIFLUO,1970,ACIFLUORFEN,Acifluorfen,50594-66-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
RSFU,1892,RIMSULFURON,Rimsulfuron,122931-48-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PICOX,2669,PICOXYSTROBINE,Picoxystrobine,117428-22-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCM,7517,THIENCARBAZONE-METHYL,Thiencarbazone-methyl,317815-83-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
24DB,1142,"2,4-DB","2,4-DB",94-82-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FOSTHIA,2744,FOSTHIAZATE,Fosthiazate,98886-44-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYMET,5416,PYMÉTROZINE,Pymétrozine,123312-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROTHIO,5603,PROTHIOCONAZOLE,Prothioconazole,178928-70-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PICLO,1708,PICLORAME,Piclorame,01/02/1918,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUPYR,2565,FLUPYRSULFURON-MÉTHYLE,Flupyrsulfuron-méthyle,144740-54-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTMY,1218,MÉTHOMYL,Méthomyl,16752-77-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PINOX,7057,PINOXADEN,Pinoxaden,243973-20-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHM,1665,PHOXIME,Phoxime,14816-18-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUQUIN,2056,FLUQUINCONAZOLE,Fluquinconazole,136426-54-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IPROVAL,2951,IPROVALICARB,Iprovalicarb,140923-17-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FMTH,1501,FLUOMÉTURON,Fluométuron,2164-17-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHOSL,1237,PHOSALONE,Phosalone,2310-17-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ENDR,1181,ENDRINE,Endrine,72-20-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACYINE,1812,ALPHAMÉTHRINE,Alphaméthrine,67375-30-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MOL,1707,MOLINATE,Molinate,2212-67-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLPIDE,7499,FLUOPICOLIDE,Fluopicolide,239110-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXDM,1231,OXYDÉMÉTON MÉTHYL,Oxydéméton méthyl,0301-12-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYAZOF,5567,CYAZOFAMIDE,Cyazofamide,120116-88-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROMN,1711,PROMÉTON,Prométon,1610-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENOXA,1973,FÉNOXAPROP-ÉTHYL,Fénoxaprop-éthyl,66441-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PECNZ,1762,PENCONAZOLE,Penconazole,66246-88-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BTRON,1531,BUTURON,Buturon,3766-60-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TDMN,1280,TRIADIMENOL,Triadimenol,55219-65-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPCHL,1712,PROPACHLORE,Propachlore,1918-16-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTX,1511,MÉTHOXYCHLORE,Méthoxychlore,72-43-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BTTNL,1529,BITERTANOL,Bitertanol,55179-31-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TITCNZ,2992,TRITICONAZOLE,Triticonazole,131983-72-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLOQMEX,2018,CLOQUINTOCET-MEXYL,Cloquintocet-mexyl,99607-70-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PETHO,7519,PETHOXAMIDE,Pethoxamide,106700-29-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ESFENV,1809,ESFENVALÉRATE,Esfenvalérate,66230-04-04,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYSUL,7801,CYPROSULFAMIDE,Cyprosulfamide,221667-31-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BRXYOC,1941,BROMOXYNIL OCTANOATE,Bromoxynil octanoate,1689-99-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DINICO,1871,DINICONAZOLE,Diniconazole,83657-24-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CARBOX,2975,CARBOXINE,Carboxine,5234-68-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBZDE,1895,TÉBUFÉNOZIDE,Tébufénozide,112410-23-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TFBZURO,1897,TEFLUBENZURON,Teflubenzuron,83121-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUAZF,6545,FLUAZIFOP,Fluazifop,69335-91-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CPC,1684,CHLOROPHACINONE,Chlorophacinone,3691-35-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SITN,5477,SIMÉTRYNE,Simétryne,1014-70-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYROMAZ,2897,CYROMAZINE,Cyromazine,66215-27-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEFENPD,2930,MEFENPYR DIETHYL,Mefenpyr diethyl,135590-91-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BROMADI,1859,BROMADIOLONE,Bromadiolone,28772-56-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUIZO,2069,QUIZALOFOP,Quizalofop,76578-12-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FERI,1185,FÉNARIMOL,Fénarimol,60168-88-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIOPM,1717,THIOPHANATE MÉTHYL,Thiophanate méthyl,23564-05-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXYM,1850,OXAMYL,Oxamyl,23135-22-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIODIC,1093,THIODICARBE,Thiodicarbe,59669-26-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIDIAZ,5934,THIDIAZURON,Thidiazuron,51707-55-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUT,1126,BUTRALINE,Butraline,33629-47-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CSFU,1353,CHLORSULFURON,Chlorsulfuron,64902-72-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLODINA,2095,CLODINAFOP-PROPARGYL,Clodinafop-propargyl,105512-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MPNI,5533,MÉPANIPYRIM,Mépanipyrim,110235-47-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
COMLI,1696,CYCLURON,Cycluron,2163-69-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FXAS,5638,FLUOXASTROBINE,Fluoxastrobine,361377-29-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROPAQU,1972,PROPAQUIZAFOP,Propaquizafop,111479-05-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CADUSAF,1863,CADUSAFOS,Cadusafos,95465-99-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZINE,1110,AZINPHOS ÉTHYL,Azinphos éthyl,2642-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLAHA,7010,CHLORDANE ALPHA,Chlordane alpha,5103-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TEMBO,7086,TEMBOTRIONE,Tembotrione,335104-84-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FOLPEL,1192,FOLPEL,Folpel,0133-07-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBPYR,1896,TÉBUFENPYRAD,Tébufenpyrad,119168-77-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUAZN,2984,FLUAZINAM,Fluazinam,79622-59-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCFMT,1171,DICLOFOP MÉTHYL,Diclofop méthyl,51338-27-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IALDR,1207,ISODRINE,Isodrine,465-73-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIASUL,1914,TRIASULFURON,Triasulfuron,82097-50-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENIT,1187,FENITROTHION,Fenitrothion,122-14-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HXFLUMU,1875,HEXAFLUMURON,Hexaflumuron,86479-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYFLTH,1681,CYFLUTHRINE,Cyfluthrine,68359-37-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CARFENE,2976,CARFENTRAZONE ÉTHYLE,Carfentrazone éthyle,128639-02-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLBROMU,2016,CHLORBROMURON,Chlorbromuron,13360-45-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUXR,1676,FLUFÉNOXURON,Flufénoxuron,101463-69-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
VMDT,1290,VAMIDOTHION,Vamidothion,2275-23-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ADC,1102,ALDICARBE,Aldicarbe,0116-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OOA,1230,OMÉTHOATE,Ométhoate,1113-02-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHLX,1683,CHLOROXURON,Chloroxuron,1982-47-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HALOX,2047,HALOXYFOP,Haloxyfop,69806-34-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPO,2750,MECOPROP-1-OCTYL ESTER,Mecoprop-1-octyl ester,161922-37-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HCHE,2046,HCH EPSILON,HCH epsilon,07/10/6108,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FOSETYL,1816,FOSETYL,Fosetyl,15845-66-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLAHB,1757,CHLORDANE BÉTA,Chlordane béta,5103-74-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRX,1663,PYRIFÉNOX,Pyrifénox,88283-41-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IMAZAPY,2090,IMAZAPYR,Imazapyr,81334-34-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETHION,1183,ETHION,Ethion,0563-12-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUMIOX,2023,FLUMIOXAZINE,Flumioxazine,103361-09-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EKALUX,1891,QUINALPHOS,Quinalphos,13593-03-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
METOSUL,1912,MÉTOSULAM,Métosulam,139528-85-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TTAZINE,5842,TRIETAZINE,Trietazine,1912-26-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUPIRI,1861,BUPIRIMATE,Bupirimate,41483-43-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETHPH,2093,ETHEPHON,Ethephon,16672-87-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HTZ,1876,HEXYTHIAZOX,Hexythiazox,78587-05-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TAUFLU,1193,FLUVALINATE-TAU,Fluvalinate-tau,102851-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENTH,1190,FENTHION,Fenthion,55-38-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENFURA,2924,BENFURACARBE,Benfuracarbe,82560-54-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPIT,1255,PROPARGITE,Propargite,2312-35-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TERB,1267,TERBUPHOS,Terbuphos,13071-79-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCLORMI,2929,DICHLORMIDE,Dichlormide,37764-25-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FONO,1674,FONOFOS,Fonofos,944-22-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMTHY,5737,DIMETHAMETRYN,Dimethametryn,22936-75-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEFENA,1968,MEFENACET,Mefenacet,73250-68-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BEFLU,7522,BEFLUBUTAMIDE,Beflubutamide,113614-08-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HXPEE,1833,HALOXYFOP ÉTHOXYÉTHYL,Haloxyfop éthoxyéthyl,87237-48-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MANDIP,6399,MANDIPROPAMIDE,Mandipropamide,374726-62-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FEINE,1188,FENPROPATHRINE,Fenpropathrine,39515-41-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SIDURON,1893,SIDURON,Siduron,1982-49-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCF,1287,TRICHLORFON,Trichlorfon,52-68-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACNT,1310,ACRINATHRINE,Acrinathrine,101007-06-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUOPYR,7649,FLUOPYRAM,Fluopyram,658066-35-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZACONA,2014,AZACONAZOLE,Azaconazole,60207-31-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRFLUM,1902,TRIFLUMURON,Triflumuron,64628-44-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HYDMAL,5645,HYDRAZIDE MALEÏQUE,Hydrazide maleïque,123-33-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCVP,1277,TÉTRACHLORVINPHOS,Tétrachlorvinphos,22248-79-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCFT,1159,DICHLOFENTHION,Dichlofenthion,97-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PNCB,1538,QUINTOZÈNE,Quintozène,82-68-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUIZOET,2070,QUIZALOFOP ÉTHYLE,Quizalofop éthyle,76578-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIAZ,2990,TRIAZOXIDE,Triazoxide,72459-58-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
34DCPA,1532,PROPANIL,Propanil,709-98-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
INDOXAC,5483,INDOXACARBE,Indoxacarbe,173584-44-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRZAMAT,1901,TRIAZAMATE,Triazamate,112143-82-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRIDAB,1890,PYRIDABÈNE,Pyridabène,96489-71-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIPHAM,5478,DIPHENYLAMINE,Diphenylamine,122-39-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHINOME,1865,CHINOMÉTHIONATE,Chinométhionate,02/01/2439,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCHLOPH,2981,DICHOROPHÈNE,Dichorophène,97-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPINO,5610,SPINOSAD,Spinosad,168316-95-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIOBEN,1764,THIOBENCARDE,Thiobencarde,28249-77-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPMD,1238,PHOSPHAMIDON,Phosphamidon,13171-21-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BEND,1329,BENDIOCARBE,Bendiocarbe,22781-23-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYFLU,7748,CYFLUFENAMIDE,Cyflufenamide,180409-60-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
NUARIMO,1883,NUARIMOL,Nuarimol,63284-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLURIDO,1974,FLURIDONE,Fluridone,59756-60-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FAMOXAD,2020,FAMOXADONE,Famoxadone,131807-57-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIFORI,1802,TRIFORINE,Triforine,26644-46-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FURALAX,1908,FURALAXYL,Furalaxyl,57646-30-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TMT,2071,THIOMÉTON,Thiométon,640-15-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IOXYOCT,1942,IOXYNIL OCTANOATE,Ioxynil octanoate,3861-47-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PMPT,1260,PYRIMIPHOS ÉTHYL,Pyrimiphos éthyl,23505-41-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
