cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie
PYR,1537,PYRÈNE,Pyrène,129-00-0,hydrocarbure
CHRYS,1476,CHRYSÈNE,Chrysène,218-01-9,hydrocarbure
1122TCE,1271,"TÉTRACHLOROÉTHANE-1,1,2,2","Tétrachloroéthane-1,1,2,2",79-34-5,hydrocarbure
TOL,1278,TOLUÈNE,Toluène,108-88-3,hydrocarbure
ACPT,1453,ACÉNAPHTÈNE,Acénaphtène,83-32-9,hydrocarbure
XYLO,1292,XYLÈNE ORTHO,Xylène ortho,95-47-6,hydrocarbure
14DCB,1166,"DICHLOROBENZÈNE-1,4","Dichlorobenzène-1,4",106-46-7,hydrocarbure
BENZETH,1497,ETHYLBENZÈNE,Ethylbenzène,100-41-4,hydrocarbure
STYR,1541,STYRÈNE,Styrène,100-42-5,hydrocarbure
12DCB,1165,"DICHLOROBENZÈNE-1,2","Dichlorobenzène-1,2",95-50-1,hydrocarbure
13DCB,1164,"DICHLOROBENZÈNE-1,3","Dichlorobenzène-1,3",541-73-1,hydrocarbure
MCB,1467,CHLOROBENZÈNE,Chlorobenzène,108-90-7,hydrocarbure
XYLMEPA,2925,XYLENES (MÉTA + PARA),Xylenes (méta + para),,hydrocarbure
12BRE,1498,"DIBROMOÉTHANE-1,2","Dibromoéthane-1,2",106-93-4,hydrocarbure
HEXBU,1652,HEXACHLOROBUTADIÈNE (PESTICIDE),Hexachlorobutadiène (pesticide),87-68-3,hydrocarbure
ANPHT,1622,ACÉNAPHTHYLÈNE,Acénaphthylène,208-96-8,hydrocarbure
1112TCE,1270,"TÉTRACHLOROÉTHANE-1,1,1,2","Tétrachloroéthane-1,1,1,2",630-20-6,hydrocarbure
12DCP,1655,"DICHLOROPROPANE-1,2","Dichloropropane-1,2",78-87-5,hydrocarbure
HEXCP,2612,HEXACHLOROPENTADIÈNE,Hexachloropentadiène,77-47-4,hydrocarbure
BRCLM,1121,BROMOCHLOROMÉTHANE,Bromochlorométhane,74-97-5,hydrocarbure
ME2FL,1619,MÉTHYL(2)FLUORANTHÈNE,Méthyl(2)fluoranthène,33543-31-6,hydrocarbure
CUMEN,1633,CUMÈNE,Cumène,98-82-8,hydrocarbure
ME2NA,1618,MÉTHYL(2)NAPHTALÈNE,Méthyl(2)naphtalène,91-57-6,hydrocarbure
CLPREN,2611,CHLOROPRÈNE,Chloroprène,126-99-8,hydrocarbure
XYLMP,1294,XYLÈNE PARA,Xylène para,106-42-3,hydrocarbure
XYLEN,1780,XYLÈNES (ORTHO+PARA+MÉTA),Xylènes (ortho+para+méta),,hydrocarbure
12DBM,1513,DIBROMOMÉTHANE,Dibromométhane,74-95-3,hydrocarbure
HCPD,2612,HEXACHLOROPENTADIÈNE (PESTICIDE),Hexachloropentadiène (pesticide),77-47-4,hydrocarbure
2CTCL,1602,CHLORO-2-TOLUÈNE,Chloro-2-toluène,95-49-8,hydrocarbure
4CTCL,1600,CHLORO-4-TOLUÈNE,Chloro-4-toluène,106-43-4,hydrocarbure
3CTCL,1601,CHLORO-3-TOLUÈNE,Chloro-3-toluène,108-41-8,hydrocarbure
123TMB,1857,"TRIMÉTHYLBENZÈNE-1,2,3","Triméthylbenzène-1,2,3",526-73-8,hydrocarbure
124TCB,1283,"TRICHLORO-1,2,4-BENZÈNE","Trichloro-1,2,4-benzène",120-82-1,hydrocarbure
TCFM,1195,TRICHLOROFLUOROMÉTHANE,Trichlorofluorométhane,75-69-4,hydrocarbure
123TCB,1630,"TRICHLORO-1,2,3-BENZÈNE","Trichloro-1,2,3-benzène",87-61-6,hydrocarbure
135TCB,1629,"TRICHLORO-1,3,5-BENZÈNE","Trichloro-1,3,5-benzène",108-70-3,hydrocarbure
23DCPRO,1653,"DICHLOROPROPÈNE-2,3","Dichloropropène-2,3",78-88-6,hydrocarbure
PCUMEN,1609,PSEUDOCUMÈNE,Pseudocumène,95-63-6,hydrocarbure
MSTL,1509,MÉSITYLÈNE,Mésitylène,108-67-8,hydrocarbure
XYL,1293,XYLÈNE MÉTA,Xylène méta,108-38-3,hydrocarbure
NBUBENZ,1855,BUTYL BENZÈNE-N,Butyl benzène-n,104-51-8,hydrocarbure
IBENZ,1836,ISOBUTYLBENZÈNE,Isobutylbenzène,538-93-2,hydrocarbure
TEQ_HAP,8117,EQUIVALENT TOXIQUE HAP,Équivalent Toxique HAP,,hydrocarbure
3CLPROP,2065,3-CHLOROPROPÈNE,3-Chloropropène,107-05-1,hydrocarbure
SBUBENZ,1610,BUTYL BENZÈNE SEC,Butyl benzène sec,135-98-8,hydrocarbure
12DCETT,1163,"DICHLOROÉTHYLÈNE-1,2 TOTAL","Dichloroéthylène-1,2 total",540-59-0,hydrocarbure
HEXCE,1656,HEXACHLOROÉTHANE,Hexachloroéthane,67-72-1,hydrocarbure
O2SAT,1312,OXYGÈNE DISSOUS % SATURATION,Oxygène dissous % Saturation,,hydrocarbure
11DCPRO,2082,"DICHLOROPROPÈNE-1,1","Dichloropropène-1,1",,hydrocarbure
PCMY,1856,CYMÈNE-P,Cymène-p,99-87-6,hydrocarbure
PBENZ,1837,PROPYLBENZÈNE-N,Propylbenzène-n,103-65-1,hydrocarbure
BBENZ,1632,BROMOBENZÈNE,Bromobenzène,108-86-1,hydrocarbure
O2,1311,OXYGÈNE DISSOUS,Oxygène dissous,7782-44-7,hydrocarbure
CLM,1736,CHLOROMÉTHANE,Chlorométhane,74-87-3,hydrocarbure
12DCPOV,1655,"DICHLOROPROPANE-1,2 (OHV)","Dichloropropane-1,2 (OHV)",78-87-5,hydrocarbure
ME1NA,2725,MÉTHYL-1 NAPHTALÈNE,Méthyl-1 naphtalène,90-12-0,hydrocarbure
HYDISSO,2962,HYDROCARBURES DISSOUS OU ÉMULSIONNÉS,Hydrocarbures dissous ou émulsionnés,,hydrocarbure
TCPR,1854,"TRICLHLORO-1,2,3-PROPANE","Triclhloro-1,2,3-propane",96-18-4,hydrocarbure
PYE,1620,PÉRYLÈNE,Pérylène,198-55-0,hydrocarbure
DFCM,1485,DICHLORODIFLUOROMÉTHANE,Dichlorodifluorométhane,75-71-8,hydrocarbure
22DCP,2081,"DICHLOROPROPANE-2,2","Dichloropropane-2,2",,hydrocarbure
CLE,1853,CHLOROÉTHANE,Chloroéthane,75-00-3,hydrocarbure
TCB,1774,TRICHLOROBENZÈNES (TOTAL),Trichlorobenzènes (Total),,hydrocarbure
TTCB,1631,"TETRACHLOROBENZÈNE-1,2,4,5","Tetrachlorobenzène-1,2,4,5",95-94-3,hydrocarbure
TETRACB,2735,TETRACHLOROBENZÈNE,Tetrachlorobenzène,12408-10-5,hydrocarbure
PFOS,6561,SULFONATE DE PERFLUOROOCTANE,Sulfonate de perfluorooctane,45298-90-6,hydrocarbure
TTCB34,2010,"TÉTRACHLOROBENZÈNE-1,2,3,4","Tétrachlorobenzène-1,2,3,4",634-66-2,hydrocarbure
TTCB35,2536,"TÉTRACHLOROBENZÈNE-1,2,3,5","Tétrachlorobenzène-1,2,3,5",634-90-2,hydrocarbure
14DAN,1580,"1,4 DIOXANE","1,4 dioxane",123-91-1,hydrocarbure
CLNBO,1469,CHLORONITROBENZÈNE ORTHO,Chloronitrobenzène ortho,88-73-3,hydrocarbure
CLNBP,1470,CHLORONITROBENZÈNE PARA,Chloronitrobenzène para,100-00-5,hydrocarbure
CLNBM,1468,CHLORONITROBENZÈNE MÉTA,Chloronitrobenzène méta,121-73-3,hydrocarbure
MO,1395,MOLYBDÈNE,Molybdène,7439-98-7,hydrocarbure
MOD,1395,MOLYBDÈNE DISSOUS,Molybdène dissous,7439-98-7,hydrocarbure
H2S,1343,HYDROGÈNE SULFURÉ,Hydrogène sulfuré,7783-06-4,hydrocarbure
IHV,7006,HYDROCARBURE VOLATIL (INDICE),Hydrocarbure volatil (Indice),,hydrocarbure
EQES,5935,EQUIVALENT-ESSENCE,Equivalent-essence,8006-61-9,hydrocarbure
H2SQ,5906,HYDROGÈNE SULFURÉ (QUALITATIF),Hydrogène sulfuré (qualitatif),,hydrocarbure
EQPE,6097,EQUIVALENT-PÉTROLE,Equivalent-pétrole,,hydrocarbure
THM,6275,SOMME DES TRIHALOMÉTHANES ANALYSÉS,Somme des Trihalométhanes analysés,,hydrocarbure
2CLPR,2695,2-CHLOROPROPANE,2-Chloropropane,75-29-6,hydrocarbure
SCCPS,1955,C10-13-CHLOROALCANES,C10-13-chloroalcanes,85535-84-8,hydrocarbure
1112TCP,2704,"1,1,1,2 TÉTRACHLOROPROPANE","1,1,1,2 Tétrachloropropane",812-03-3,hydrocarbure
1113TCP,2705,"1,1,1,3 TÉTRACHLOROPROPANE","1,1,1,3 Tétrachloropropane",1070-78-6,hydrocarbure
CLNAPH1,1603,CHLORONAPHTALÈNE-1,Chloronaphtalène-1,90-13-1,hydrocarbure
CLNAPH2,1604,CHLORONAPHTALÈNE-2,Chloronaphtalène-2,91-58-7,hydrocarbure
TCTFM00,6506,TRICHLOROTRIFLUOROÉTHANE,Trichlorotrifluoroéthane,26523-64-8,hydrocarbure
234ET_S,2552,SOMME ETHYLTOLUÈNES (3 ISOMÈRES),Somme Ethyltoluènes (3 isomères),25550-14-5,hydrocarbure
IDAN,2676,INDANE,Indane,496-11-7,hydrocarbure
MCH,5506,METHYL CYCLOHEXANE,Methyl cyclohexane,108-87-2,hydrocarbure
PENT,2686,PENTANE,Pentane,109-66-0,hydrocarbure
2MPENT,2683,2-METHYLPENTANE,2-Methylpentane,107-83-5,hydrocarbure
DOD,1554,DODECANE,Dodecane,112-40-3,hydrocarbure
SEH,7464,SUBSTANCES EXTRACTIBLES À L'HEXANE,Substances extractibles à l'hexane,,hydrocarbure
23DMB,2667,"2,3-DIMETHYLBUTANE","2,3-Dimethylbutane",79-29-8,hydrocarbure
23DMP,2668,"2,3-DIMETHYLPENTANE","2,3-Dimethylpentane",565-59-3,hydrocarbure
34ET_S,3348,SOMME 3ETHYLTOLUÈNE+4ETHYLTOLUÈNE,Somme 3ethyltoluène+4ethyltoluène,,hydrocarbure
IPENT,2682,ISOPENTANE,Isopentane,78-78-4,hydrocarbure
NONA,2684,NONANE,Nonane,111-84-2,hydrocarbure
22DMB,2666,"2,2-DIMETHYLBUTANE","2,2-Dimethylbutane",75-83-2,hydrocarbure
IOCTA,1581,ISOOCTANE,Isooctane,540-84-1,hydrocarbure
CHEX,1583,CYCLOHEXANE,Cyclohexane,110-82-7,hydrocarbure
NHEX,2675,N-HEXANE,n-Hexane,110-54-3,hydrocarbure
DEC,2665,DECANE,Decane,124-18-5,hydrocarbure
HTAN,2674,HEPTANE,Heptane,142-82-5,hydrocarbure
OCTA,2679,OCTANE,Octane,111-65-9,hydrocarbure
UDEC,2690,UNDECANE,Undecane,1120-21-4,hydrocarbure
EQGO,6096,EQUIVALENT-GAZOLE,Equivalent-gazole,64741-44-2,hydrocarbure
EHT,7009,EQUIVALENT HYDROCARBURES TOTAUX,Equivalent hydrocarbures totaux,,hydrocarbure
CAMP,7418,CAMPHÈNE,Camphène,79-92-5,hydrocarbure
BJFL,1733,BENZO(J)FLUORANTHÈNE,Benzo(J)fluoranthène,205-82-3,hydrocarbure
BBPYR,1460,BENZO(E)PYRÈNE,Benzo(e)pyrène,192-97-2,hydrocarbure
EDTA,1493,ACIDE ÉTHYLÈNEDIAMINE TÉTRAACÉTIQUE,Acide éthylènediamine tétraacétique,60-00-4,hydrocarbure
PGOL,3360,PROPYLÈNE GLYCOL,Propylène glycol,57-55-6,hydrocarbure
B12FLU,1732,"BENZO(1,2)FLUORÈNE","Benzo(1,2)fluorène",238-84-6,hydrocarbure
DEGME,2718,ETHYLÈNE GLYCOL,Ethylène glycol,107-21-1,hydrocarbure
2NTOL,2613,2-NITROTOLUÈNE,2-nitrotoluène,88-72-2,hydrocarbure
23CNT,2814,2-CHLORO-3-NITROTOLUÈNE,2-chloro-3-nitrotoluène,3970-40-9,hydrocarbure
13BUTOL,7624,"1,3-BUTANEDIOL","1,3-Butanediol",107-88-0,hydrocarbure
42CNT,1605,4-CHLORO-2-NITROTOLUÈNE,4-chloro-2-nitrotoluène,89-59-8,hydrocarbure
26CNT,2816,2-CHLORO-6-NITROTOLUÈNE,2-chloro-6-nitrotoluène,83-42-1,hydrocarbure
14BUTOL,7625,"1,4-BUTANEDIOL","1,4-Butanediol",110-63-4,hydrocarbure
2EAT,7886,2-ÉTHYLAMINOTOLUÈNE,2-éthylaminotoluène,94-68-8,hydrocarbure
13PRPOL,2727,"1,3-PROPANEDIOL","1,3-Propanediol",504-63-2,hydrocarbure
HPAT16,6136,HYDROCARBURES POLYCYCLIQUES AROMATIQUES (16 SUBST.),Hydrocarbures polycycliques aromatiques (16 subst.),,hydrocarbure
ANTHRAD,2013,ANTHRAQUINONE (HAP),Anthraquinone (HAP),84-65-1,hydrocarbure
ICH2,1446,HYDROCARBURES (INDICE CH2),Hydrocarbures (Indice CH2),,hydrocarbure
1M3IPB,2680,1-METHYL-3-ISOPROPYLBENZENE,1-Methyl-3-isopropylbenzene,535-77-3,hydrocarbure
IDEN,2677,INDENE,Indene,95-13-6,hydrocarbure
IDURE,2689,ISODURENE,Isodurene,527-53-7,hydrocarbure
OCMY,2681,CYMENE-O,cymene-o,527-84-4,hydrocarbure
DURE,2688,DURENE,Durene,95-93-2,hydrocarbure
1E2MB,2717,"BENZENE, 1-ETHYL-2-METHYL-","Benzene, 1-ethyl-2-methyl-",611-14-3,hydrocarbure
PCB138,1244,PCB 138,PCB 138,35065-28-2,pcb
PCB180,1246,PCB 180,PCB 180,35065-29-3,pcb
PCB118,1243,PCB 118,PCB 118,31508-00-6,pcb
PCB153,1245,PCB 153,PCB 153,35065-27-1,pcb
PCB28,1239,PCB 28,PCB 28,7012-37-5,pcb
PCB101,1242,PCB 101,PCB 101,37680-73-2,pcb
PCB52,1241,PCB 52,PCB 52,35693-99-3,pcb
PCB149,1885,PCB 149,PCB 149,38380-04-0,pcb
PCB170,1626,PCB 170,PCB 170,35065-30-6,pcb
PCB35,1240,PCB 35,PCB 35,,pcb
PCB105,1627,PCB 105,PCB 105,32598-14-4,pcb
PCB31,1886,PCB 31,PCB 31,16606-02-3,pcb
PCB44,1628,PCB 44,PCB 44,41464-39-5,pcb
PCB18,3164,PCB 18,PCB 18,,pcb
PCB194,1625,PCB 194,PCB 194,35694-08-7,pcb
PCB54,2048,PCB 54,PCB 54,15968-05-5,pcb
PCB209,1624,PCB 209,PCB 209,2051-24-3,pcb
PCBI,7431,POLYCHLOROBIPHÉNILES INDICATEURS,Polychlorobiphéniles indicateurs,,pcb
PCB77,1091,PCB 77,PCB 77,32598-13-3,pcb
PCB126,1089,PCB 126,PCB 126,57465-28-8,pcb
PCB156,2032,PCB 156,PCB 156,,pcb
PCB169,1090,PCB 169,PCB 169,32774-16-6,pcb
PCB189,5437,PCB 189,PCB 189,39635-31-9,pcb
PCB123,5434,PCB 123,PCB 123,65510-44-3,pcb
PCB81,5432,PCB 81,PCB 81,70362-50-4,pcb
PCB114,5433,PCB 114,PCB 114,74472-37-0,pcb
PCB157,5435,PCB 157,PCB 157,69782-90-7,pcb
PCB167,5436,PCB 167,PCB 167,52663-72-6,pcb
PCB128,1884,PCB 128,PCB 128,38380-07-3,pcb
PCB125,2943,PCB 125,PCB 125,74472-39-2,pcb
PCB66,5803,PCB 66,PCB 66,32598-10-0,pcb
PCB20,5301,PCB 20,PCB 20,38444-84-7,pcb
PCB,1032,POLYCHLOROBIPHÉNILES(PCB),Polychlorobiphéniles(PCB),,pcb
HPCDD1,2575,"1,2,3,4,6,7,8-HPCDD","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxine",35822-46-9,dioxine et furane
HXCDD1,2571,"1,2,3,4,7,8-HXCDD","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxine",39227-28-6,dioxine et furane
PECDD1,2569,"1,2,3,7,8-PECDD","1,2,3,7,8-Pentachlorodibenzo-p-dioxine",40321-76-4,dioxine et furane
HXCDD2,2572,"1,2,3,6,7,8-HXCDD","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxine",57653-85-7,dioxine et furane
HXCDD3,2573,"1,2,3,7,8,9-HXCDD","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxine",19408-74-3,dioxine et furane
OCDD_D,2566,OCDD,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxine",3268-87-9,dioxine et furane
TCDD1,2562,"2,3,7,8-TCDD","2,3,7,8-Tetrachlorodibenzo-p-Dioxine",1746-01-6,dioxine et furane
HPCDF1,2596,"1,2,3,4,6,7,8-HPCDF","1,2,3,4,6,7,8-Heptachlorodibenzofurane",67562-39-4,dioxine et furane
HXCDF2,2592,"1,2,3,6,7,8-HXCDF","1,2,3,6,7,8-Hexachlorodibenzofurane",57117-44-9,dioxine et furane
HXCDF1,2591,"1,2,3,4,7,8-HXCDF","1,2,3,4,7,8-hexachlorodibenzofurane",70648-26-9,dioxine et furane
HXCDF4,2594,"1,2,3,7,8,9-HXCDF","1,2,3,7,8,9-Hexachlorodibenzofurane",72918-21-9,dioxine et furane
HPCDF2,2597,"1,2,3,4,7,8,9-HPCDF","1,2,3,4,7,8,9-Heptachlorodibenzofurane",55673-89-7,dioxine et furane
HXCDF3,2593,"2,3,4,6,7,8-HXCDF","2,3,4,6,7,8-Hexachlorodibenzofurane",60851-34-5,dioxine et furane
TCDF1,2586,"2,3,7,8-TCDF","2,3,7,8-Tetrachlorodibenzofurane",51207-31-9,dioxine et furane
PECDF2,2589,"2,3,4,7,8-PECDF","2,3,4,7,8-Pentachlorodibenzofurane",57117-31-4,dioxine et furane
OCDF,5248,OCDF,Octachlorodibenzofurane,39001-02-0,dioxine et furane
PECDF1,2588,"1,2,3,7,8-PECDF","1,2,3,7,8-Pentachlorodibenzofurane",57117-41-6,dioxine et furane
DEHP,6616,DEHP (2-ETHYLHEXYL PHTALATE),DEHP (2-ethylhexyl phtalate),117-81-7,phtalate
DBP,1462,DBP (DIBUTYL PHTHALATE),DBP (Dibutyl phthalate),84-74-2,phtalate
BBP,1924,BUTYL BENZYL PHTALATE,Butyl benzyl phtalate,85-68-7,phtalate
DMP,1489,DIMÉTHYLPHTALATE,Diméthylphtalate,131-11-3,phtalate
DPPP,2541,DIPROPYL PHTALATE,Dipropyl phtalate,131-16-8,phtalate
DPP,2540,DIPENTYL PHTALATE,Dipentyl phtalate,131-18-0,phtalate
DEP,1527,DIÉTHYLPHTALATE,Diéthylphtalate,84-66-2,phtalate
DIBP,5325,DIISOBUTHYL PHTALATE,Diisobuthyl phtalate,84-69-5,phtalate
EHP,6617,ETHYL HEXYL PHTALATE,Ethyl hexyl phtalate,4376-20-9,phtalate
DNHP,2538,PHTALATE DE DIHEPTYLE,Phtalate de diheptyle,3648-21-3,phtalate
DCHP,7851,PHTALATE DE DICYCLOHEXYLE,Phtalate de dicyclohexyle,84-61-7,phtalate
DNOP,3342,DI-N-OCTYL PHTHALATE,Di-n-octyl phthalate,117-84-0,phtalate
PCP,1235,PENTACHLOROPHÉNOL,Pentachlorophénol,87-86-5,phénol
4C3MPH,1636,CHLORO-4 MÉTHYLPHÉNOL-3,Chloro-4 Méthylphénol-3,59-50-7,phénol
DNP,3293,"2,4 DINITROPHÉNOL","2,4 Dinitrophénol",51-28-5,phénol
245TCP,1548,"TRICHLOROPHÉNOL-2,4,5","Trichlorophénol-2,4,5",95-95-4,phénol
2METPH,1640,MÉTHYLPHÉNOL-2,Méthylphénol-2,95-48-7,phénol
3METPH,1639,MÉTHYLPHÉNOL-3,Méthylphénol-3,108-39-4,phénol
IPHENMG,1440,PHÉNOLS (INDICE PHÉNOL C6H5OH) MG/L,Phénols (indice phénol C6H5OH) mg/L,,phénol
246TCP,1549,"TRICHLOROPHÉNOL-2,4,6","Trichlorophénol-2,4,6",88-06-2,phénol
23DCP,1645,"DICHLOROPHÉNOL-2,3","Dichlorophénol-2,3",576-24-9,phénol
"2,4DMP",1641,"DIMÉTHYLPHÉNOL-2,4","Diméthylphénol-2,4",105-67-9,phénol
BISPHEN,2766,BISPHÉNOL A,Bisphénol A,80-05-7,phénol
ALKYL01,1959,4-TER-OCTYLPHÉNOL,4-ter-octylphénol,140-66-9,phénol
ALKYL03,1957,NONYLPHÉNOL,Nonylphénol,25154-52-3,phénol
ALKYL02,1920,4-OCTYLPHÉNOL,4-octylphénol,1806-26-4,phénol
ALKYL08,5346,NP2EO (NONYLPHÉNOL DIETHOXYLÉ),NP2EO (Nonylphénol diethoxylé),20427-84-3,phénol
ALKYL09,2904,OCTYLPHÉNOL,Octylphénol,67554-50-1,phénol
ALKYL07,5345,4-NP1EO (NONYLPHÉNOL MONOETHOXYLÉ),4-NP1EO (Nonylphénol monoethoxylé),104-35-8,phénol
OP2OE,6371,4(1133-TÉTMÉTBUT)PHÉNOL DIÉTHOXYLAT,4(1133-tétmétbut)phénol diéthoxylat,2315-61-9,phénol
IPHENQ,2949,"PHÉNOLS QUAL. (0=R.A.S., SINON=1)","Phénols qual. (0=r.a.s., sinon=1)",,phénol
DCP_S1,3336,"SOMME DU 2,4-DICHLOROPHENOL ET DU 2,5-DICHLOROPHENOL","Somme du 2,4-Dichlorophenol et du 2,5-Dichlorophenol",,phénol
TERBP,2610,4TERTBUTYLPHENOL,4tertbutylphenol,7440-09-7,phénol
ALKYL05,5474,4-N-NONYLPHENOL,4-n-nonylphenol,104-40-5,phénol
ALKYL04,1958,4-NONYLPHENOL RAMIFIÉ,4-nonylphenol ramifié,84852-15-3,phénol
ANTIP15,6760,IVERMECTINE,Ivermectine,70288-86-7,médicament
ANALG09,5355,ACIDE SALICYLIQUE,Acide salicylique,69-72-7,médicament
ANTIP20,,AFOXOLANER,Afoxolaner,1093861-60-9,médicament
ANTIB28,6750,TÉTRACYCLINES,Tétracyclines,60-54-8,médicament
ANALG05,5351,NAPROXENE,Naproxene,22204-53-1,médicament
PH,1302,PH ,pH,,paramètre organoleptique
CDT25,1303,CONDUCTIVITÉ À 25°C,Conductivité à 25°C,,paramètre organoleptique
TEAU,1301,TEMPÉRATURE DE L'EAU,Température de l'eau,,paramètre organoleptique
TURBNFU,1295,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,Turbidité néphélométrique NFU,,paramètre organoleptique
ODQ,5901,ODEUR (QUALITATIF),Odeur (qualitatif),,paramètre organoleptique
ASP,6489,ASPECT (QUALITATIF),Aspect (qualitatif),,paramètre organoleptique
SAVQ,5902,SAVEUR (QUALITATIF),Saveur (qualitatif),,paramètre organoleptique
COULQ,5900,COULEUR (QUALITATIF),Couleur (qualitatif),,paramètre organoleptique
COULF,1309,COLORATION,Coloration,,paramètre organoleptique
TH,1345,TITRE HYDROTIMÉTRIQUE,Titre hydrotimétrique,,paramètre organoleptique
TAC,1347,TITRE ALCALIMÉTRIQUE COMPLET,Titre alcalimétrique complet,,paramètre organoleptique
TEMP_PH,6484,TEMPÉRATURE DE MESURE DU PH,Température de mesure du pH,,paramètre organoleptique
TAIR,1409,TEMPÉRATURE DE L'AIR,Température de l'air,,paramètre organoleptique
TA,1346,TITRE ALCALIMÉTRIQUE,Titre alcalimétrique,,paramètre organoleptique
ODEUR25,2038,ODEUR (DILUTION À 25°C),Odeur (dilution à 25°c),,paramètre organoleptique
SAV25,2037,SAVEUR PAR DILUTION À 25°C,Saveur par dilution à 25°c,,paramètre organoleptique
PHE,6488,PH D'ÉQUILIBRE À LA T° ÉCHANTILLON,pH d'équilibre à la t° échantillon,,paramètre organoleptique
P48H,1553,PLUVIOMÉTRIE-48H,Pluviométrie-48h,,paramètre organoleptique
CDT,1304,CONDUCTIVITÉ À 20°C,Conductivité à 20°C,,paramètre organoleptique
ODSAVQ,99999,ODEUR SAVEUR (QUALITATIF),Odeur Saveur (qualitatif),,paramètre organoleptique
TEMPDOM,1301,TEMPÉRATURE DE L'EAU (DOM),Température de l'eau (DOM),,paramètre organoleptique
T_CDT25,7861,TEMP DE MESURE DE CONDUCTIVITÉ 25°C,Temp de mesure de conductivité 25°C,,paramètre organoleptique
PH_EC,6355,ECART ENTRE PH INITIAL ET PH À L'ÉQ,Ecart entre pH initial et pH à l'équilibre,,paramètre organoleptique
COUL,1309,COLORATION,Coloration,,paramètre organoleptique
PHE20,0,PH EQUILIBRE CALCULÉ À 20°C,pH Equilibre Calculé à 20°C,,paramètre organoleptique
ODSAV25,99999,ODEUR SAVEUR À 25°C,Odeur Saveur à 25°C,,paramètre organoleptique
ABSO254,6449,ABSORBANCE À 254 NM,Absorbance à 254 nm,,paramètre organoleptique
COULQ_B,2948,CHANG. ANORMAL DE COLORATION,Chang. anormal de coloration,,paramètre organoleptique
MES,1305,MATIÈRES EN SUSPENSION,Matières en suspension,,paramètre organoleptique
RSEC,1750,RÉSIDU SEC À 180°,Résidu sec à 180°,,paramètre organoleptique
PATHM,1408,PRESSION ATHMOSPHÉRIQUE,Pression athmosphérique,,paramètre organoleptique
EH,1330,POTENTIEL D'OXYDO-RÉDUCTION (EH),Potentiel d'oxydo-réduction (Eh),,paramètre organoleptique
NH4,1335,AMMONIUM (EN NH4),Ammonium (en NH4),14798-03-9,minéral
FET,1393,FER TOTAL,Fer total,7439-89-6,minéral
ALTMICR,1370,ALUMINIUM TOTAL µG/L,Aluminium total µg/l,7429-90-5,minéral
SO4,1338,SULFATES,Sulfates,,minéral
CA,1374,CALCIUM,Calcium,7440-70-2,minéral
MG,1372,MAGNÉSIUM,Magnésium,7439-95-4,minéral
MN,1394,MANGANÈSE TOTAL,Manganèse total,7439-96-5,minéral
HCO3,1327,HYDROGÉNOCARBONATES,Hydrogénocarbonates,,minéral
,1375,SODIUM,Sodium,7440-23-5,minéral
K,1367,POTASSIUM,Potassium,7440-09-7,minéral
ALD,1370,ALUMINIUM DISSOUS,Aluminium dissous,7429-90-5,minéral
FED,1393,FER DISSOUS,Fer dissous,7439-89-6,minéral
MND,1394,MANGANÈSE DISSOUS,Manganèse dissous,,minéral
ZN,1383,ZINC,Zinc,7440-66-6,minéral
CALCOC2,5907,EQUILIBRE CALCOCARBONIQUE 0/1/2/3/4,Equilibre calcocarbonique 0/1/2/3/4,,minéral
CO3,1328,CARBONATES,Carbonates,,minéral
FMG,7073,FLUORURES MG/L,Fluorures mg/L,16984-48-8,minéral
THCA,5411,TITRE HYDROTIMÉTRIQUE CALCIQUE,Titre hydrotimétrique calcique,,minéral
PT,1350,PHOSPHORE TOTAL (EXPRIME EN MG(P2O5)/L),Phosphore total (exprimé en mg(P2O5)/L),7723-14-0,minéral
K40,2954,POTASSIUM 40 EN MG/L,Potassium 40 en mg/L,,minéral
STRF,6455,ENTÉROCOQUES /100ML-MS,Entérocoques /100ml-MS,,microbio
ECOLI,1449,ESCHERICHIA COLI /100ML - MF,Escherichia coli /100ml - MF,,microbio
CTF,1447,BACTÉRIES COLIFORMES /100ML-MS,Bactéries coliformes /100ml-MS,,microbio
GT36_44,5441,BACT. AÉR. REVIVIFIABLES À 36°-44H,Bact. aér. revivifiables à 36°-44h,,microbio
GT22_68,5440,BACT. AÉR. REVIVIFIABLES À 22°-68H,Bact. aér. revivifiables à 22°-68h,,microbio
BSIR,1042,BACT. ET SPORES SULFITO-RÉDU./100ML,Bact. et spores sulfito-rédu./100ml,,microbio
CTHF,1448,COLIFORMES THERMOTOLÉRANTS/100ML-MS,Coliformes thermotolérants/100ml-MS,,microbio
GT22,1040,BACT. AÉR. REVIVIFIABLES À 22°-72H,Bact. aér. revivifiables à 22°-72h,,microbio
GT37,1041,BACT. AÉR. REVIVIFIABLES À 37°-24H,Bact. aér. revivifiables à 37°-24h,,microbio
MCLR,2058,MICROCYSTINE-LR TOTALE,Microcystine-LR totale,101043-37-2,microbio
